Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2018-11-08,True,2.0,34,22.0,2018-12-12,17.3,17.3,16.9,17.3,17.15,0.1,1,0,1,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
2018-11-09,True,2.0,33,21.0,2018-12-12,17.4,17.9,17.4,17.4,17.65,0.5,1,0,1,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
2018-11-12,True,2.0,30,20.0,2018-12-12,18.6,18.6,18.05,18.6,18.8,1.15,1,0,2,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
2018-11-19,True,2.0,23,15.0,2018-12-12,18.8,19.5,18.8,18.8,19.375,1.05,1,0,1,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
2018-11-28,True,1.0,14,9.0,2018-12-12,19.1,19.1,18.1,19.1,17.8,-0.9,1,0,2,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
2018-11-29,True,1.0,13,8.0,2018-12-12,17.4,18.8,17.4,17.4,18.3,0.5,1,0,2,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
2018-12-03,True,1.0,9,6.0,2018-12-12,16.75,16.75,16.65,16.75,16.775,-0.825,1,0,3,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
2018-12-04,True,1.0,8,5.0,2018-12-12,17.85,19.8,16.95,19.5,19.75,2.975,9,0,8,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
2018-12-06,True,1.0,6,4.0,2018-12-12,22.1,22.5,20.85,21.8,20.275,1.25,15,0,22,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
2018-12-07,True,1.0,5,3.0,2018-12-12,20.35,22.3,20.35,22.2,22.3,2.025,14,0,14,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
2018-12-12,True,1.0,0,0.0,2018-12-12,,,,20.86,20.86,-0.965,0,0,14,2018,12,Z (Dec 2018),2018-12-12.w_.CFE_VX_2018.csv,True
