Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2008-09-12,False,10.0,278,191.0,2009-06-17,24.29,24.29,24.29,24.29,24.21,0.01,20,0,20,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-09-26,False,9.0,264,181.0,2009-06-17,25.0,25.01,25.0,25.01,25.03,0.19,4,0,24,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-09-30,False,9.0,260,179.0,2009-06-17,26.13,26.13,26.1,26.1,25.46,-2.66,10,0,34,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-10-07,False,9.0,253,174.0,2009-06-17,28.11,28.11,28.0,28.0,25.75,-1.75,16,0,50,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-10-08,False,9.0,252,173.0,2009-06-17,28.29,28.29,26.6,26.6,26.45,0.7,137,0,163,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-10-09,False,9.0,251,172.0,2009-06-17,26.9,27.5,26.9,27.5,28.07,1.62,10,0,153,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-10-13,False,9.0,247,170.0,2009-06-17,30.34,30.34,25.73,26.0,26.78,-1.33,3,0,151,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-10-15,False,9.0,245,168.0,2009-06-17,28.0,28.0,26.13,26.13,26.82,-0.19,40,0,149,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-10-16,False,9.0,244,167.0,2009-06-17,27.5,28.5,27.5,28.5,27.82,1.0,2,0,149,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-10-20,False,9.0,240,165.0,2009-06-17,28.54,28.54,27.9,28.0,27.85,-0.77,19,0,160,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-10-22,False,9.0,238,163.0,2009-06-17,30.95,31.76,30.95,31.45,32.17,3.05,57,0,159,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-10-24,False,8.0,236,161.0,2009-06-17,35.49,36.9,35.44,36.9,36.25,4.17,10,0,151,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-10-30,False,8.0,230,157.0,2009-06-17,35.46,35.5,35.46,35.5,34.46,0.17,5,0,155,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-11-05,False,8.0,223,153.0,2009-06-17,34.9,34.9,34.9,34.9,35.44,1.68,2,0,153,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-11-17,False,8.0,211,145.0,2009-06-17,38.0,38.99,38.0,38.99,40.02,1.2,4,0,157,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-11-18,False,8.0,210,144.0,2009-06-17,41.8,41.8,41.8,41.8,39.68,-0.34,6,0,162,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-11-20,False,7.0,208,142.0,2009-06-17,43.71,44.39,43.71,44.21,42.64,1.11,39,0,196,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-11-21,False,7.0,207,141.0,2009-06-17,41.08,43.4,41.08,43.0,42.89,0.25,7,0,199,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-11-24,False,7.0,204,140.0,2009-06-17,40.5,40.5,40.5,40.5,41.14,-1.75,2,0,193,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-11-25,False,7.0,203,139.0,2009-06-17,40.01,40.01,39.51,39.51,39.59,-1.55,2,0,191,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-11-26,False,7.0,202,138.0,2009-06-17,39.0,40.0,39.0,39.2,39.24,-0.35,16,0,180,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-01,False,7.0,197,136.0,2009-06-17,41.89,42.2,41.89,42.2,43.76,4.48,33,0,205,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-02,False,7.0,196,135.0,2009-06-17,43.01,43.01,42.02,42.02,42.94,-0.82,3,0,207,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-05,False,7.0,193,132.0,2009-06-17,44.01,44.01,44.01,44.01,43.86,0.49,2,0,208,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-08,False,7.0,190,131.0,2009-06-17,42.75,49.84,42.75,44.29,44.06,0.2,67,0,195,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-09,False,7.0,189,130.0,2009-06-17,44.0,44.29,44.0,44.29,44.84,0.78,30,0,215,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-11,False,7.0,187,128.0,2009-06-17,44.51,44.51,44.5,44.5,45.0,0.42,7,0,220,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-12,False,7.0,186,127.0,2009-06-17,44.51,44.51,44.0,44.0,43.95,-1.05,50,0,250,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-16,False,7.0,182,125.0,2009-06-17,43.51,43.51,43.5,43.5,42.5,-0.94,4,0,240,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-17,False,7.0,181,124.0,2009-06-17,42.0,42.01,40.88,40.88,40.82,-1.68,53,0,280,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-18,False,6.0,180,123.0,2009-06-17,40.0,41.01,40.0,41.01,40.26,-0.56,56,0,283,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-22,False,6.0,176,121.0,2009-06-17,39.8,40.04,39.8,40.04,39.91,0.84,5,0,286,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-23,False,6.0,175,120.0,2009-06-17,40.07,40.29,39.89,39.89,39.74,-0.17,9,0,292,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-24,False,6.0,174,119.0,2009-06-17,40.05,40.05,40.05,40.05,40.0,0.26,1,0,293,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-26,False,6.0,172,118.0,2009-06-17,40.2,40.43,40.2,40.43,40.42,0.42,8,0,301,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-30,False,6.0,168,116.0,2009-06-17,40.37,40.37,40.31,40.31,39.81,-1.22,2,0,303,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2008-12-31,False,6.0,167,115.0,2009-06-17,39.3,39.3,37.9,37.9,38.28,-1.53,4,0,306,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2009-01-02,False,6.0,165,114.0,2009-06-17,37.0,37.0,37.0,37.0,35.9,-2.38,1,0,306,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2009-01-05,False,6.0,162,113.0,2009-06-17,36.99,37.0,36.25,36.25,35.64,-0.26,4,0,304,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2009-01-06,False,6.0,161,112.0,2009-06-17,35.52,36.0,35.52,36.0,36.05,0.41,2,0,303,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2009-01-07,False,6.0,160,111.0,2009-06-17,36.14,37.5,35.98,37.0,37.45,1.4,47,0,332,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2009-01-08,False,6.0,159,110.0,2009-06-17,38.5,38.5,36.93,36.93,37.22,-0.23,15,0,337,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2009-01-09,False,6.0,158,109.0,2009-06-17,37.55,37.55,37.0,37.37,37.15,-0.07,26,0,358,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2009-01-12,False,6.0,155,108.0,2009-06-17,38.0,38.51,38.0,38.5,38.56,1.41,5,0,362,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
2009-01-13,False,6.0,154,107.0,2009-06-17,38.45,38.45,38.45,38.45,38.56,0.0,1,0,362,2009,6,M (Jun 09),2009-06-17.m_6.CFE_VX_M2009.csv,True
