Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2005-03-21,False,3.0,85,60.0,2005-06-15,14.57,14.62,14.57,14.62,14.61,14.61,10,0,10,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-03-22,False,3.0,84,59.0,2005-06-15,14.6,14.7,14.6,14.7,14.97,0.36,21,0,21,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-03-23,False,3.0,83,58.0,2005-06-15,15.12,15.12,15.12,15.12,15.04,0.07,3,0,24,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-03-28,False,3.0,78,56.0,2005-06-15,14.86,14.97,14.86,14.97,14.95,0.09,21,0,45,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-03-29,False,3.0,77,55.0,2005-06-15,14.76,15.19,14.76,15.12,15.18,0.23,40,0,46,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-03-30,False,3.0,76,54.0,2005-06-15,15.2,15.2,15.2,15.2,15.03,-0.15,10,0,56,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-03-31,False,3.0,75,53.0,2005-06-15,14.97,15.0,14.96,15.0,15.04,0.01,15,0,61,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-04-01,False,3.0,74,52.0,2005-06-15,14.81,14.97,14.61,14.9,15.2,0.16,46,0,106,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-04-04,False,3.0,72,51.0,2005-06-15,15.32,15.65,15.3,15.3,15.2,0.0,60,0,166,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-04-05,False,3.0,71,50.0,2005-06-15,15.25,15.29,15.2,15.2,15.2,0.0,25,0,190,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-04-06,False,3.0,70,49.0,2005-06-15,15.07,15.09,14.86,14.95,15.04,-0.16,21,0,210,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-04-07,False,3.0,69,48.0,2005-06-15,14.98,14.98,14.69,14.69,14.65,-0.39,23,0,233,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-04-08,False,3.0,68,47.0,2005-06-15,14.54,14.66,14.54,14.66,14.69,0.04,51,0,284,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-04-11,False,3.0,65,46.0,2005-06-15,14.7,14.7,14.65,14.65,14.62,-0.07,34,0,297,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-04-12,False,3.0,64,45.0,2005-06-15,14.69,14.7,14.4,14.4,14.27,-0.35,27,0,323,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
2005-04-13,False,3.0,63,44.0,2005-06-15,14.4,14.4,14.37,14.4,14.51,0.24,110,0,328,2005,6,M (Jun 05),2005-06-15.m_6.CFE_VX_M2005.csv,True
