Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2022-03-23,True,1.0,21,15.0,2022-04-13,24.15,24.85,24.15,24.15,24.325,-0.075,1,0,1,2022,4,J (Apr 2022),2022-04-13.w_.CFE_VX_2022.csv,True
2022-03-30,True,1.0,14,10.0,2022-04-13,21.5,21.65,21.15,21.5,21.425,0.425,1,0,1,2022,4,J (Apr 2022),2022-04-13.w_.CFE_VX_2022.csv,True
2022-04-05,True,1.0,8,6.0,2022-04-13,21.2,22.0,20.35,22.0,22.25,2.2,2,0,3,2022,4,J (Apr 2022),2022-04-13.w_.CFE_VX_2022.csv,True
2022-04-06,True,1.0,7,5.0,2022-04-13,23.15,24.45,22.3,24.3,22.8,0.55,11,0,14,2022,4,J (Apr 2022),2022-04-13.w_.CFE_VX_2022.csv,True
2022-04-07,True,1.0,6,4.0,2022-04-13,23.85,23.9,22.1,23.85,22.25,-0.55,1,0,13,2022,4,J (Apr 2022),2022-04-13.w_.CFE_VX_2022.csv,True
2022-04-08,True,1.0,5,3.0,2022-04-13,21.35,22.7,21.35,21.35,22.15,-0.1,1,0,13,2022,4,J (Apr 2022),2022-04-13.w_.CFE_VX_2022.csv,True
2022-04-11,True,1.0,2,2.0,2022-04-13,24.05,24.35,22.55,24.05,24.475,2.325,1,0,13,2022,4,J (Apr 2022),2022-04-13.w_.CFE_VX_2022.csv,True
2022-04-12,True,1.0,1,1.0,2022-04-13,24.9,24.95,22.7,24.9,24.75,0.275,9,0,18,2022,4,J (Apr 2022),2022-04-13.w_.CFE_VX_2022.csv,True
2022-04-13,True,1.0,0,0.0,2022-04-13,,,,24.06,24.06,-0.69,0,0,18,2022,4,J (Apr 2022),2022-04-13.w_.CFE_VX_2022.csv,True
