Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2018-09-25,False,9.0,267,183.0,2019-06-19,16.9,17.0,16.87,16.99,16.9,-0.125,116,0,116,2019,6,M (Jun 2019),2019-06-19.w_.CFE_VX_2019.csv,True
2018-09-26,False,9.0,266,182.0,2019-06-19,16.94,17.1,16.9,17.1,16.95,0.05,110,0,256,2019,6,M (Jun 2019),2019-06-19.w_.CFE_VX_2019.csv,True
2018-09-27,False,9.0,265,181.0,2019-06-19,17.04,17.04,16.9,16.95,16.875,-0.075,143,0,379,2019,6,M (Jun 2019),2019-06-19.w_.CFE_VX_2019.csv,True
2018-10-01,False,9.0,261,179.0,2019-06-19,16.77,16.9,16.72,16.72,16.875,-0.15,22,0,356,2019,6,M (Jun 2019),2019-06-19.w_.CFE_VX_2019.csv,True
2018-10-02,False,9.0,260,178.0,2019-06-19,16.82,16.97,16.82,16.93,16.85,-0.025,136,0,478,2019,6,M (Jun 2019),2019-06-19.w_.CFE_VX_2019.csv,True
2018-10-03,False,9.0,259,177.0,2019-06-19,16.89,16.95,16.87,16.9,16.825,-0.025,150,0,611,2019,6,M (Jun 2019),2019-06-19.w_.CFE_VX_2019.csv,True
2018-10-04,False,9.0,258,176.0,2019-06-19,17.05,17.3,17.0,17.08,17.05,0.225,231,0,829,2019,6,M (Jun 2019),2019-06-19.w_.CFE_VX_2019.csv,True
2018-10-05,False,9.0,257,175.0,2019-06-19,17.08,17.53,16.91,17.14,17.3,0.25,1560,0,2246,2019,6,M (Jun 2019),2019-06-19.w_.CFE_VX_2019.csv,True
2018-10-08,False,9.0,254,174.0,2019-06-19,17.2,17.85,17.15,17.27,17.325,0.025,1633,0,3340,2019,6,M (Jun 2019),2019-06-19.w_.CFE_VX_2019.csv,True
2018-10-09,False,9.0,253,173.0,2019-06-19,17.33,17.65,17.28,17.39,17.35,0.025,288,0,3344,2019,6,M (Jun 2019),2019-06-19.w_.CFE_VX_2019.csv,True
