Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2018-03-09,True,3.0,46,32.0,2018-04-25,16.6,17.0,16.6,16.6,16.0,-1.6,15,0,15,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-03-19,True,3.0,37,26.0,2018-04-25,17.4,18.7,17.2,18.35,17.6,0.75,5,0,20,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-03-20,True,3.0,36,25.0,2018-04-25,17.75,18.0,17.6,17.75,17.5,-0.1,4,0,20,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-03-21,True,3.0,35,24.0,2018-04-25,17.3,17.65,16.85,17.0,17.65,0.15,3,0,18,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-03-22,True,2.0,34,23.0,2018-04-25,18.7,19.55,18.1,19.35,19.075,1.425,36,0,47,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-03-23,True,2.0,33,22.0,2018-04-25,18.9,20.35,18.7,18.9,20.375,1.3,4,0,47,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-03-26,True,2.0,30,21.0,2018-04-25,19.75,20.25,19.1,20.25,19.2,-1.175,2,0,48,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-03-27,True,2.0,29,20.0,2018-04-25,19.25,20.45,19.1,19.4,20.175,0.975,2,0,48,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-03-28,True,2.0,28,19.0,2018-04-25,20.75,20.9,20.05,20.75,20.575,0.4,14,0,62,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-03-29,True,2.0,27,18.0,2018-04-25,19.15,20.3,19.0,19.15,19.55,-1.025,1,0,61,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-03,True,2.0,22,16.0,2018-04-25,20.35,20.75,20.25,20.5,20.2,-0.575,10,0,60,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-04,True,2.0,21,15.0,2018-04-25,21.1,21.4,19.95,20.15,19.75,-0.45,3,0,59,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-05,True,2.0,20,14.0,2018-04-25,19.45,19.55,19.1,19.45,19.0,-0.75,5,0,59,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-06,True,2.0,19,13.0,2018-04-25,19.55,21.2,19.45,19.5,20.45,1.45,2,0,59,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-10,True,2.0,15,11.0,2018-04-25,20.0,20.35,19.8,19.8,20.025,-0.525,13,0,69,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-11,True,2.0,14,10.0,2018-04-25,19.9,20.25,19.6,19.9,19.95,-0.075,13,0,73,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-12,True,2.0,13,9.0,2018-04-25,19.05,19.2,18.7,18.75,18.9,-1.05,29,0,68,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-13,True,2.0,12,8.0,2018-04-25,18.3,18.7,18.15,18.6,18.3,-0.6,39,0,82,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-16,True,2.0,9,7.0,2018-04-25,17.5,17.65,17.05,17.2,17.15,-1.15,45,0,93,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-17,True,2.0,8,6.0,2018-04-25,16.35,16.65,15.6,15.8,16.0,-1.15,60,0,106,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-18,True,2.0,7,5.0,2018-04-25,16.25,16.6,15.95,16.0,15.95,-0.05,111,0,143,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-19,True,1.0,6,4.0,2018-04-25,16.35,16.95,16.05,16.35,16.35,0.4,64,0,154,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-20,True,1.0,5,3.0,2018-04-25,16.05,17.6,16.05,17.2,17.325,0.975,34,0,162,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-23,True,1.0,2,2.0,2018-04-25,16.9,17.2,16.05,16.6,16.45,-0.875,64,0,179,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-24,True,1.0,1,1.0,2018-04-25,15.9,19.05,15.85,18.25,18.05,1.6,185,0,151,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
2018-04-25,True,1.0,0,0.0,2018-04-25,,,,18.43,18.43,0.38,0,0,151,2018,4,J (Apr 2018),2018-04-25.w_.CFE_VX_2018.csv,True
