Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2017-06-19,True,3.0,44,31.0,2017-08-02,12.4,12.45,12.35,12.35,12.125,-0.675,50,0,50,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-06-20,True,3.0,43,30.0,2017-08-02,12.65,12.65,12.5,12.6,12.525,0.4,2,0,52,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-06-21,True,3.0,42,29.0,2017-08-02,12.5,12.55,12.5,12.5,12.65,0.125,1,0,53,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-06-23,True,2.0,40,27.0,2017-08-02,12.45,12.5,12.3,12.3,12.325,-0.175,16,0,54,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-06-29,True,2.0,34,23.0,2017-08-02,12.7,13.6,12.1,13.05,12.375,0.275,3,0,57,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-06-30,True,2.0,33,22.0,2017-08-02,12.4,12.7,12.35,12.5,12.025,-0.35,10,0,67,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-03,True,2.0,30,21.0,2017-08-02,12.7,12.7,12.2,12.7,12.75,0.725,1,0,68,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-05,True,2.0,28,20.0,2017-08-02,12.75,12.95,12.35,12.35,12.6,-0.15,5,0,70,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-06,True,2.0,27,19.0,2017-08-02,12.45,13.2,12.45,13.15,13.15,0.55,43,0,96,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-07,True,2.0,26,18.0,2017-08-02,12.75,13.05,12.7,12.75,12.7,-0.45,4,0,99,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-10,True,2.0,23,17.0,2017-08-02,12.25,12.6,12.25,12.25,12.4,-0.3,1,0,100,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-12,True,2.0,21,15.0,2017-08-02,11.95,12.3,11.95,11.95,12.0,-0.3,3,0,102,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-13,True,2.0,20,14.0,2017-08-02,11.85,11.9,11.8,11.85,11.75,-0.25,1,0,101,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-14,True,2.0,19,13.0,2017-08-02,11.65,11.7,11.45,11.45,11.425,-0.325,51,0,86,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-17,True,2.0,16,12.0,2017-08-02,11.25,11.3,11.1,11.2,11.125,-0.3,10,0,95,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-18,True,2.0,15,11.0,2017-08-02,11.15,11.25,11.05,11.15,10.95,-0.175,1,0,96,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-19,True,2.0,14,10.0,2017-08-02,11.05,11.05,10.75,10.8,10.875,-0.075,155,0,188,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-20,True,1.0,13,9.0,2017-08-02,10.8,11.05,10.65,10.65,10.75,-0.125,104,0,288,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-21,True,1.0,12,8.0,2017-08-02,10.8,11.0,10.6,10.6,10.625,-0.125,129,0,387,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-24,True,1.0,9,7.0,2017-08-02,10.85,10.85,10.4,10.4,10.475,-0.15,194,0,491,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-25,True,1.0,8,6.0,2017-08-02,10.5,10.5,10.25,10.4,10.4,-0.075,146,0,612,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-26,True,1.0,7,5.0,2017-08-02,10.3,10.45,10.15,10.45,10.375,-0.025,209,0,618,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-27,True,1.0,6,4.0,2017-08-02,10.25,11.45,10.1,10.7,10.7,0.325,172,0,533,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-28,True,1.0,5,3.0,2017-08-02,11.05,11.35,10.8,10.8,10.425,-0.275,228,0,415,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-07-31,True,1.0,2,2.0,2017-08-02,10.75,10.9,10.55,10.6,10.55,0.125,183,0,344,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-08-01,True,1.0,1,1.0,2017-08-02,10.47,10.6,10.2,10.3,10.275,-0.275,210,0,269,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
2017-08-02,True,1.0,0,0.0,2017-08-02,10.25,10.25,10.2,10.25,10.02,-0.255,4,0,269,2017,8,Q (Aug 2017),2017-08-02.w_.CFE_VX_2017.csv,True
