Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2021-07-12,True,2.0,30,22.0,2021-08-11,19.8,19.9,19.6,19.85,19.725,-0.15,57,0,57,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-07-15,True,2.0,27,19.0,2021-08-11,20.0,20.1,19.7,19.9,19.775,0.325,8,0,52,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-07-21,True,2.0,21,15.0,2021-08-11,20.7,21.35,20.2,20.4,20.2,-1.325,7,0,52,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-07-22,True,1.0,20,14.0,2021-08-11,20.25,20.6,20.1,20.35,20.45,0.25,19,0,38,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-07-27,True,1.0,15,11.0,2021-08-11,20.9,21.25,20.25,20.85,20.275,0.475,2,0,38,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-07-28,True,1.0,14,10.0,2021-08-11,19.6,20.45,19.6,19.6,19.725,-0.55,10,0,38,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-07-29,True,1.0,13,9.0,2021-08-11,19.5,19.55,19.45,19.55,19.275,-0.45,2,0,38,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-08-02,True,1.0,9,7.0,2021-08-11,20.5,20.65,19.2,20.5,20.6,0.725,4,0,42,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-08-03,True,1.0,8,6.0,2021-08-11,19.6,20.8,19.1,19.15,19.025,-1.575,13,0,42,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-08-04,True,1.0,7,5.0,2021-08-11,19.55,19.65,18.85,19.0,19.125,0.1,28,0,56,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-08-05,True,1.0,6,4.0,2021-08-11,19.25,19.25,18.2,18.2,18.35,-0.775,11,0,56,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-08-09,True,1.0,2,2.0,2021-08-11,17.65,17.9,17.15,17.45,17.275,-0.325,5,0,61,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-08-10,True,1.0,1,1.0,2021-08-11,16.85,17.1,16.7,17.1,16.875,-0.4,44,0,84,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
2021-08-11,True,1.0,0,0.0,2021-08-11,,,,16.32,16.32,-0.555,0,0,76,2021,8,Q (Aug 2021),2021-08-11.w_.CFE_VX_2021.csv,True
