Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2020-03-05,True,2.0,33,24.0,2020-04-08,27.45,28.05,26.85,27.45,27.725,2.225,5,0,5,2020,4,J (Apr 2020),2020-04-08.w_.CFE_VX_2020.csv,True
2020-03-11,True,2.0,28,20.0,2020-04-08,40.3,40.7,40.3,40.3,40.175,4.25,1,0,6,2020,4,J (Apr 2020),2020-04-08.w_.CFE_VX_2020.csv,True
2020-03-12,True,2.0,27,19.0,2020-04-08,44.25,47.85,44.25,44.25,48.725,8.55,5,0,11,2020,4,J (Apr 2020),2020-04-08.w_.CFE_VX_2020.csv,True
2020-03-13,True,2.0,26,18.0,2020-04-08,48.3,49.65,46.45,49.6,46.275,-2.45,8,0,9,2020,4,J (Apr 2020),2020-04-08.w_.CFE_VX_2020.csv,True
2020-03-17,True,2.0,22,16.0,2020-04-08,65.05,65.05,59.45,65.05,63.95,1.45,1,0,10,2020,4,J (Apr 2020),2020-04-08.w_.CFE_VX_2020.csv,True
2020-03-19,True,1.0,20,14.0,2020-04-08,72.85,73.3,66.2,73.3,68.425,-4.125,2,0,8,2020,4,J (Apr 2020),2020-04-08.w_.CFE_VX_2020.csv,True
2020-03-23,True,1.0,16,12.0,2020-04-08,59.55,60.55,53.1,59.55,51.575,-11.325,3,0,6,2020,4,J (Apr 2020),2020-04-08.w_.CFE_VX_2020.csv,True
2020-03-25,True,1.0,14,10.0,2020-04-08,47.5,53.05,47.5,47.5,52.625,3.075,1,0,7,2020,4,J (Apr 2020),2020-04-08.w_.CFE_VX_2020.csv,True
2020-04-03,True,1.0,5,3.0,2020-04-08,48.0,48.0,46.35,47.85,46.25,-2.525,3,0,10,2020,4,J (Apr 2020),2020-04-08.w_.CFE_VX_2020.csv,True
2020-04-08,True,1.0,0,0.0,2020-04-08,,,,44.54,44.54,-0.86,0,0,10,2020,4,J (Apr 2020),2020-04-08.w_.CFE_VX_2020.csv,True
