Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2020-09-10,True,2.0,34,24.0,2020-10-14,32.55,33.35,32.55,32.6,32.525,-1.35,10,0,10,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-09-14,True,2.0,30,22.0,2020-10-14,31.4,31.4,30.65,30.8,31.1,-0.375,4,0,12,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-09-16,True,2.0,28,20.0,2020-10-14,30.45,30.45,30.35,30.45,30.825,0.4,1,0,11,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-09-23,True,1.0,21,15.0,2020-10-14,31.4,32.8,30.95,32.7,32.4,0.95,17,0,5,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-09-25,True,1.0,19,13.0,2020-10-14,32.15,32.65,31.1,31.1,31.3,-0.875,5,0,10,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-09-28,True,1.0,16,12.0,2020-10-14,31.45,31.45,30.8,31.45,31.05,-0.25,9,0,10,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-09-29,True,1.0,15,11.0,2020-10-14,30.45,31.35,30.0,30.6,29.95,-1.1,15,0,25,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-09-30,True,1.0,14,10.0,2020-10-14,29.75,30.9,29.4,29.65,30.6,0.65,36,0,27,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-10-01,True,1.0,13,9.0,2020-10-14,29.85,30.95,29.75,29.9,30.775,0.175,6,0,33,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-10-02,True,1.0,12,8.0,2020-10-14,32.65,32.85,30.05,32.1,31.7,0.925,34,0,24,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-10-05,True,1.0,9,7.0,2020-10-14,30.75,31.5,30.3,30.5,30.4,-1.3,8,0,32,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-10-06,True,1.0,8,6.0,2020-10-14,29.85,31.15,29.5,29.9,30.825,0.425,9,0,40,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-10-07,True,1.0,7,5.0,2020-10-14,29.55,30.45,29.3,29.55,29.6,-1.225,2,0,39,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-10-08,True,1.0,6,4.0,2020-10-14,29.15,29.5,27.75,28.5,27.7,-1.9,17,0,56,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-10-09,True,1.0,5,3.0,2020-10-14,26.5,27.5,26.15,26.5,26.4,-1.3,17,0,57,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-10-12,True,1.0,2,2.0,2020-10-14,25.45,25.95,25.25,25.25,25.3,-1.1,24,0,60,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-10-13,True,1.0,1,1.0,2020-10-14,25.85,26.95,25.3,26.25,26.1,0.8,10,0,46,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
2020-10-14,True,1.0,0,0.0,2020-10-14,25.5,26.4,25.5,25.5,26.02,-0.08,5,0,38,2020,10,V (Oct 2020),2020-10-14.w_.CFE_VX_2020.csv,True
