Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2018-06-13,True,3.0,42,29.0,2018-07-25,14.6,14.6,14.4,14.6,14.525,0.225,1,0,1,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-06-22,True,2.0,33,22.0,2018-07-25,14.7,14.75,14.6,14.7,14.75,-0.325,14,0,15,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-02,True,2.0,23,16.0,2018-07-25,16.6,16.65,16.3,16.6,16.05,-0.125,8,0,23,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-05,True,2.0,20,14.0,2018-07-25,15.65,16.1,15.5,15.5,15.45,-0.9,10,0,28,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-06,True,2.0,19,13.0,2018-07-25,14.9,15.45,14.7,14.72,14.75,-0.7,18,0,30,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-09,True,2.0,16,12.0,2018-07-25,14.3,14.3,13.9,14.0,13.9,-0.85,23,0,38,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-10,True,2.0,15,11.0,2018-07-25,14.0,14.0,13.7,13.75,13.75,-0.15,12,0,49,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-12,True,2.0,13,9.0,2018-07-25,13.8,13.95,13.65,13.75,13.6,-0.8,8,0,41,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-16,True,2.0,9,7.0,2018-07-25,13.25,13.45,13.15,13.4,13.45,0.125,25,0,58,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-17,True,2.0,8,6.0,2018-07-25,12.85,13.55,12.65,12.75,12.75,-0.7,21,0,79,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-19,True,1.0,6,4.0,2018-07-25,13.0,13.45,13.0,13.45,13.225,0.475,42,0,63,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-20,True,1.0,5,3.0,2018-07-25,13.4,13.4,13.25,13.4,13.325,0.1,5,0,58,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-23,True,1.0,2,2.0,2018-07-25,13.1,13.45,12.95,13.0,12.85,-0.475,4,0,62,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-24,True,1.0,1,1.0,2018-07-25,12.55,13.2,12.45,12.6,12.65,-0.2,47,0,74,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
2018-07-25,True,1.0,0,0.0,2018-07-25,,,,12.9,12.9,0.25,0,0,74,2018,7,N (Jul 2018),2018-07-25.w_.CFE_VX_2018.csv,True
