Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2019-06-12,True,3.0,42,29.0,2019-07-24,16.85,16.85,16.85,16.85,16.9,0.2,10,0,10,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-06-20,True,2.0,34,23.0,2019-07-24,16.35,16.4,16.2,16.35,16.4,0.35,4,0,14,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-06-27,True,2.0,27,18.0,2019-07-24,16.5,16.5,16.5,16.5,16.275,-0.475,3,0,17,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-07-02,True,2.0,22,15.0,2019-07-24,15.0,15.15,15.0,15.0,14.725,-0.6,1,0,18,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-07-03,True,2.0,21,14.0,2019-07-24,14.7,14.8,14.5,14.6,14.525,-0.2,4,0,19,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-07-12,True,2.0,12,8.0,2019-07-24,14.0,14.0,14.0,14.0,13.875,-0.475,1,0,20,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-07-15,True,2.0,9,7.0,2019-07-24,13.8,13.8,13.8,13.8,13.625,-0.25,1,0,20,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-07-16,True,2.0,8,6.0,2019-07-24,13.65,13.7,13.55,13.7,13.525,-0.1,2,0,19,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-07-17,True,2.0,7,5.0,2019-07-24,14.0,14.15,13.5,14.0,14.35,0.825,1,0,19,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-07-18,True,1.0,6,4.0,2019-07-24,14.9,14.9,14.15,14.55,14.025,-0.325,2,0,21,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-07-19,True,1.0,5,3.0,2019-07-24,14.25,14.55,14.0,14.25,14.85,0.825,2,0,21,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-07-23,True,1.0,1,1.0,2019-07-24,13.5,13.6,12.9,12.9,12.925,-0.9,13,0,18,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
2019-07-24,True,1.0,0,0.0,2019-07-24,,,,13.01,13.01,0.085,0,0,18,2019,7,N (Jul 2019),2019-07-24.w_.CFE_VX_2019.csv,True
