Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2013-01-23,False,9.0,265,185.0,2013-10-16,20.1,20.1,19.85,20.1,0.0,0.0,3,0,3,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-01-24,False,9.0,264,184.0,2013-10-16,20.05,20.25,19.88,20.1,0.0,0.0,37,0,29,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-01-25,False,9.0,263,183.0,2013-10-16,19.95,20.05,19.8,19.87,0.0,0.0,120,0,153,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-01-28,False,9.0,260,182.0,2013-10-16,19.95,20.05,19.82,19.82,0.0,0.0,81,0,148,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-01-29,False,9.0,259,181.0,2013-10-16,19.93,20.05,19.65,19.68,0.0,0.0,107,0,205,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-01-30,False,9.0,258,180.0,2013-10-16,19.8,20.0,19.64,20.0,0.0,0.0,40,0,230,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-01-31,False,9.0,257,179.0,2013-10-16,19.9,20.05,19.8,20.05,0.0,0.0,21,0,240,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-01,False,9.0,256,178.0,2013-10-16,20.0,20.05,19.8,20.0,0.0,0.0,220,0,368,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-04,False,9.0,253,177.0,2013-10-16,20.2,20.4,19.95,20.4,0.0,0.0,24,0,378,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-05,False,9.0,252,176.0,2013-10-16,20.13,20.15,19.85,20.1,0.0,0.0,31,0,379,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-06,False,9.0,251,175.0,2013-10-16,19.9,20.35,19.9,20.05,0.0,0.0,39,0,382,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-07,False,9.0,250,174.0,2013-10-16,19.85,20.4,19.85,20.05,0.0,0.0,29,0,383,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-08,False,9.0,249,173.0,2013-10-16,20.05,20.05,19.74,19.77,0.0,0.0,43,0,407,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-11,False,9.0,246,172.0,2013-10-16,20.15,20.15,19.45,19.52,0.0,0.0,69,0,423,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-12,False,9.0,245,171.0,2013-10-16,19.65,19.65,19.35,19.46,0.0,0.0,53,0,439,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-13,False,9.0,244,170.0,2013-10-16,19.35,19.6,19.33,19.43,0.0,0.0,89,0,489,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-14,False,8.0,243,169.0,2013-10-16,19.75,19.75,19.43,19.45,0.0,0.0,99,0,528,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-15,False,8.0,242,168.0,2013-10-16,19.5,19.6,19.4,19.55,0.0,0.0,92,0,562,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-19,False,8.0,238,167.0,2013-10-16,19.45,19.45,19.14,19.15,0.0,0.0,133,0,599,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-20,False,8.0,237,166.0,2013-10-16,19.05,19.52,19.0,19.52,0.0,0.0,330,0,799,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-21,False,8.0,236,165.0,2013-10-16,19.5,19.7,19.32,19.7,0.0,0.0,621,0,977,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-22,False,8.0,235,164.0,2013-10-16,19.65,19.65,19.24,19.45,0.0,0.0,536,0,1154,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-25,False,8.0,232,163.0,2013-10-16,19.2,20.1,18.94,19.58,0.0,0.0,1267,0,1536,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-26,False,8.0,231,162.0,2013-10-16,19.65,19.8,19.24,19.6,0.0,0.0,966,0,1527,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-27,False,8.0,230,161.0,2013-10-16,19.6,19.62,19.08,19.24,0.0,0.0,875,0,1807,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-02-28,False,8.0,229,160.0,2013-10-16,19.03,19.52,18.94,19.41,0.0,0.0,626,0,1867,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-03-01,False,8.0,228,159.0,2013-10-16,19.5,19.59,19.13,19.4,0.0,0.0,411,0,1951,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-03-04,False,8.0,225,158.0,2013-10-16,19.4,19.57,19.05,19.2,0.0,0.0,158,0,1970,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-03-05,False,8.0,224,157.0,2013-10-16,18.95,19.09,18.75,18.9,0.0,0.0,1116,0,2398,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-03-06,False,8.0,223,156.0,2013-10-16,18.75,18.95,18.71,18.75,0.0,0.0,373,0,2490,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-03-07,False,8.0,222,155.0,2013-10-16,18.75,18.8,18.65,18.7,0.0,0.0,621,0,2591,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-03-08,False,8.0,221,154.0,2013-10-16,18.68,18.85,18.49,18.6,0.0,0.0,845,0,2814,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-03-11,False,8.0,219,153.0,2013-10-16,18.78,18.85,18.58,18.58,0.0,0.0,914,0,3140,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-03-12,False,8.0,218,152.0,2013-10-16,18.65,19.02,18.6,18.7,0.0,0.0,931,0,3465,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
2013-03-13,False,8.0,217,151.0,2013-10-16,18.87,18.98,18.71,18.84,0.0,0.0,325,0,3554,2013,10,V (Oct 2013),2013-10-16.w_.CFE_VX_2013.csv,True
