Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2022-01-21,True,1.0,19,13.0,2022-02-09,24.9,27.0,24.9,24.9,27.175,2.275,1,0,1,2022,2,G (Feb 2022),2022-02-09.w_.CFE_VX_2022.csv,True
2022-01-27,True,1.0,13,9.0,2022-02-09,28.0,28.35,26.9,28.0,28.825,1.15,1,0,2,2022,2,G (Feb 2022),2022-02-09.w_.CFE_VX_2022.csv,True
2022-01-31,True,1.0,9,7.0,2022-02-09,24.9,26.95,24.9,24.9,24.9,-1.725,4,0,6,2022,2,G (Feb 2022),2022-02-09.w_.CFE_VX_2022.csv,True
2022-02-03,True,1.0,6,4.0,2022-02-09,24.25,25.6,23.25,24.9,25.65,3.95,9,0,15,2022,2,G (Feb 2022),2022-02-09.w_.CFE_VX_2022.csv,True
2022-02-04,True,1.0,5,3.0,2022-02-09,25.5,25.7,22.85,23.7,23.775,-1.875,4,0,18,2022,2,G (Feb 2022),2022-02-09.w_.CFE_VX_2022.csv,True
2022-02-07,True,1.0,2,2.0,2022-02-09,23.05,23.6,22.45,23.05,23.325,-0.45,1,0,19,2022,2,G (Feb 2022),2022-02-09.w_.CFE_VX_2022.csv,True
2022-02-08,True,1.0,1,1.0,2022-02-09,22.7,23.3,21.65,21.75,21.85,-1.475,6,0,17,2022,2,G (Feb 2022),2022-02-09.w_.CFE_VX_2022.csv,True
2022-02-09,True,1.0,0,0.0,2022-02-09,,,,20.6,20.6,-1.25,0,0,17,2022,2,G (Feb 2022),2022-02-09.w_.CFE_VX_2022.csv,True
