Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2017-12-13,True,3.0,42,27.0,2018-01-24,12.0,12.0,12.0,12.0,12.025,-0.075,2,0,2,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2017-12-14,True,3.0,41,26.0,2018-01-24,12.05,12.15,11.95,12.05,12.025,0.0,1,0,3,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2017-12-15,True,3.0,40,25.0,2018-01-24,11.65,11.85,11.6,11.65,11.625,-0.4,1,0,3,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2017-12-20,True,3.0,35,22.0,2018-01-24,11.55,11.65,11.5,11.5,11.625,0.05,5,0,6,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2017-12-21,True,2.0,34,21.0,2018-01-24,11.55,11.6,11.5,11.55,11.525,-0.1,6,0,10,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2017-12-27,True,2.0,28,18.0,2018-01-24,11.4,11.5,11.4,11.45,11.525,0.0,3,0,12,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2017-12-29,True,2.0,26,16.0,2018-01-24,11.65,11.75,11.4,11.75,11.75,0.225,4,0,15,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-03,True,2.0,21,14.0,2018-01-24,10.95,10.95,10.9,10.9,10.875,-0.3,3,0,17,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-04,True,2.0,20,13.0,2018-01-24,10.85,10.85,10.75,10.8,10.9,0.025,6,0,21,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-05,True,2.0,19,12.0,2018-01-24,10.8,10.9,10.8,10.85,10.825,-0.075,6,0,24,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-08,True,2.0,16,11.0,2018-01-24,10.85,10.85,10.6,10.7,10.7,-0.125,20,0,39,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-09,True,2.0,15,10.0,2018-01-24,10.55,10.95,10.55,10.95,10.975,0.275,16,0,43,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-10,True,2.0,14,9.0,2018-01-24,11.0,11.3,10.6,10.6,10.65,-0.325,97,0,114,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-11,True,2.0,13,8.0,2018-01-24,10.6,10.7,10.55,10.55,10.65,0.0,79,0,157,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-12,True,2.0,12,7.0,2018-01-24,10.55,10.75,10.55,10.65,10.625,-0.025,84,0,214,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-16,True,2.0,8,6.0,2018-01-24,10.58,11.8,10.58,11.2,11.2,0.575,196,0,318,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-17,True,2.0,7,5.0,2018-01-24,11.3,11.8,10.85,11.4,11.3,0.1,148,0,260,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-18,True,1.0,6,4.0,2018-01-24,11.35,11.8,11.25,11.8,11.75,0.45,198,0,274,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-19,True,1.0,5,3.0,2018-01-24,11.9,11.9,11.3,11.4,11.35,-0.4,146,0,240,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-22,True,1.0,2,2.0,2018-01-24,11.25,11.35,10.95,11.2,11.1,-0.25,215,0,236,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-23,True,1.0,1,1.0,2018-01-24,11.05,11.2,10.95,11.2,11.1,0.0,159,0,249,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
2018-01-24,True,1.0,0,0.0,2018-01-24,,,,11.33,11.33,0.23,0,0,249,2018,1,F (Jan 2018),2018-01-24.w_.CFE_VX_2018.csv,True
