Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2019-02-01,True,2.0,33,22.0,2019-03-06,18.0,18.0,17.9,18.0,17.475,-0.7,1,0,1,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-04,True,2.0,30,21.0,2019-03-06,17.5,17.5,17.45,17.45,17.3,-0.175,2,0,3,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-12,True,2.0,22,15.0,2019-03-06,16.35,16.55,16.35,16.55,16.675,-0.175,16,0,12,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-13,True,2.0,21,14.0,2019-03-06,16.35,16.35,16.1,16.25,16.4,-0.275,14,0,26,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-14,True,1.0,20,13.0,2019-03-06,17.55,17.55,16.65,16.65,16.85,0.45,5,0,26,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-19,True,1.0,15,11.0,2019-03-06,16.05,16.05,15.98,15.98,15.975,-0.15,23,0,41,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-20,True,1.0,14,10.0,2019-03-06,16.05,16.05,15.5,16.05,15.5,-0.475,1,0,42,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-21,True,1.0,13,9.0,2019-03-06,15.85,15.85,15.3,15.8,15.65,0.15,12,0,42,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-25,True,1.0,9,7.0,2019-03-06,14.55,15.1,14.45,14.65,15.225,0.375,15,0,45,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-26,True,1.0,8,6.0,2019-03-06,15.7,15.7,15.3,15.7,15.475,0.25,10,0,55,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-27,True,1.0,7,5.0,2019-03-06,15.35,15.95,15.25,15.25,15.3,-0.175,2,0,55,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-02-28,True,1.0,6,4.0,2019-03-06,15.35,15.35,15.2,15.35,15.375,0.075,2,0,56,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-03-01,True,1.0,5,3.0,2019-03-06,14.31,15.0,14.31,14.39,14.275,-1.1,15,0,41,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-03-04,True,1.0,2,2.0,2019-03-06,14.0,16.45,13.85,16.45,14.475,0.2,32,0,46,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-03-05,True,1.0,1,1.0,2019-03-06,15.3,15.3,14.7,14.75,14.825,0.35,22,0,33,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
2019-03-06,True,1.0,0,0.0,2019-03-06,,,,15.18,15.18,0.355,0,0,33,2019,3,H (Mar 2019),2019-03-06.w_.CFE_VX_2019.csv,True
