Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2016-08-16,True,2.0,29,20.0,2016-09-14,15.25,15.4,14.95,15.3,15.1,0.25,9,0,9,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-08-17,True,2.0,28,19.0,2016-09-14,15.4,15.6,14.8,15.4,14.8,-0.3,60,0,69,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-08-18,True,1.0,27,18.0,2016-09-14,14.65,14.9,14.5,14.55,14.475,-0.325,46,0,112,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-08-19,True,1.0,26,17.0,2016-09-14,14.8,14.8,14.45,14.45,14.5,0.025,72,0,174,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-08-22,True,1.0,23,16.0,2016-09-14,14.75,14.75,14.5,14.7,14.5,0.0,15,0,183,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-08-24,True,1.0,21,14.0,2016-09-14,14.3,14.85,14.3,14.6,14.75,0.475,5,0,183,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-08-29,True,1.0,16,11.0,2016-09-14,14.9,15.0,14.4,14.9,14.35,-0.625,6,0,183,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-08-30,True,1.0,15,10.0,2016-09-14,14.4,14.65,14.25,14.25,14.425,0.075,2,0,184,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-08-31,True,1.0,14,9.0,2016-09-14,14.45,14.95,14.4,14.5,14.375,-0.05,14,0,196,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-09-01,True,1.0,13,8.0,2016-09-14,14.65,15.0,14.3,14.4,14.45,0.075,21,0,212,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-09-02,True,1.0,12,7.0,2016-09-14,14.0,14.5,13.6,13.6,13.575,-0.875,43,0,226,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-09-06,True,1.0,8,6.0,2016-09-14,13.2,13.6,12.97,12.97,13.0,-0.575,30,0,249,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-09-07,True,1.0,7,5.0,2016-09-14,12.95,13.0,12.75,12.8,12.775,-0.225,125,0,345,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-09-08,True,1.0,6,4.0,2016-09-14,13.0,13.05,12.75,12.95,13.075,0.3,22,0,361,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-09-09,True,1.0,5,3.0,2016-09-14,14.0,17.0,13.1,16.9,17.1,4.025,307,0,312,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-09-12,True,1.0,2,2.0,2016-09-14,17.25,18.5,14.8,15.0,15.1,-2.0,193,0,310,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-09-13,True,1.0,1,1.0,2016-09-14,15.5,18.85,15.0,17.8,17.875,2.775,298,0,320,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
2016-09-14,True,1.0,0,0.0,2016-09-14,17.75,18.1,17.45,17.6,17.77,-0.105,11,0,313,2016,9,U (Sep 2016),2016-09-14.w_.CFE_VX_2016.csv,True
