Trade Date,Weekly,Tenor_Monthly,Tenor_Days,Tenor_Trade_Days,Expiry,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Year,MonthOfYear,Futures,File,Expired
2015-11-12,True,3.0,41,28.0,2015-12-23,17.6,18.1,17.0,17.15,18.125,0.0,75,0,25,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-11-13,True,3.0,40,27.0,2015-12-23,18.26,19.3,18.18,19.3,19.2,1.075,29,0,4,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-11-16,True,3.0,37,26.0,2015-12-23,19.05,19.3,17.5,18.0,17.4,-1.8,3,0,5,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-11-19,True,2.0,34,23.0,2015-12-23,17.3,17.8,17.1,17.3,17.7,0.525,15,0,20,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-11-20,True,2.0,33,22.0,2015-12-23,17.28,17.55,17.15,17.33,17.075,-0.625,2,0,18,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-11-23,True,2.0,30,21.0,2015-12-23,16.83,17.15,16.75,16.95,16.775,-0.3,22,0,40,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-11-24,True,2.0,29,20.0,2015-12-23,17.55,17.55,16.85,17.4,17.075,0.3,44,0,84,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-11-25,True,2.0,28,19.0,2015-12-23,17.1,17.1,16.65,16.85,16.625,-0.45,4,0,84,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-11-27,True,2.0,26,18.0,2015-12-23,16.75,16.8,16.65,16.8,16.875,0.25,9,0,79,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-11-30,True,2.0,23,17.0,2015-12-23,16.75,17.05,16.75,16.8,16.775,-0.1,63,0,112,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-01,True,2.0,22,16.0,2015-12-23,16.6,16.8,15.95,15.95,16.025,-0.75,180,0,275,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-02,True,2.0,21,15.0,2015-12-23,16.15,16.85,16.0,16.8,16.625,0.6,31,0,303,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-03,True,2.0,20,14.0,2015-12-23,16.95,18.75,16.45,18.3,18.075,1.45,81,0,327,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-04,True,2.0,19,13.0,2015-12-23,17.55,17.95,16.2,16.2,16.225,-1.85,92,0,377,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-07,True,2.0,16,12.0,2015-12-23,16.8,17.3,16.25,16.75,16.475,0.25,36,0,363,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-08,True,2.0,15,11.0,2015-12-23,17.3,17.85,16.6,17.55,17.575,1.1,22,0,375,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-09,True,2.0,14,10.0,2015-12-23,17.5,19.0,16.8,18.05,18.475,0.9,58,0,397,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-10,True,2.0,13,9.0,2015-12-23,18.6,18.65,17.9,18.65,18.725,0.25,42,0,437,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-11,True,2.0,12,8.0,2015-12-23,19.7,22.2,18.5,21.7,21.625,2.9,240,0,468,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-14,True,2.0,9,7.0,2015-12-23,20.5,22.4,20.2,20.2,20.2,-1.425,151,0,445,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-15,True,2.0,8,6.0,2015-12-23,18.8,20.3,18.5,18.9,18.65,-1.55,356,0,336,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-16,True,2.0,7,5.0,2015-12-23,17.2,18.35,16.75,17.0,16.875,-1.775,177,0,290,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-17,True,1.0,6,4.0,2015-12-23,16.25,18.2,16.25,17.95,18.15,1.275,139,0,396,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-18,True,1.0,5,3.0,2015-12-23,18.6,19.95,18.2,19.65,19.8,1.65,197,0,509,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-21,True,1.0,2,2.0,2015-12-23,18.2,19.55,18.1,18.2,18.05,-1.75,231,0,619,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-22,True,1.0,1,1.0,2015-12-23,17.5,18.15,16.5,16.85,16.25,-1.8,470,0,654,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
2015-12-23,True,1.0,0,0.0,2015-12-23,16.0,16.6,16.0,16.0,15.82,-0.43,19,0,654,2015,12,Z (Dec 2015),2015-12-23.w_.CFE_VX_2015.csv,True
